Treatment	Percentage	Isolate	Replicate	Area
UB	50	OR	3	0.274
UB	50	OR	4	0.258
UB	50	OR	5	0.27
UB	70	OR	1	0.255
UB	70	OR	2	0.247
UB	70	OR	3	0.263
UB	70	OR	4	0.237
UB	70	OR	5	0.277
UB	30	TN	1	0.3
UB	30	TN	2	0.3
UB	30	TN	3	0.29
UB	30	TN	4	0.268
UB	30	TN	5	0.292
UB	50	TN	1	0.313
UB	50	TN	2	0.309
UB	50	TN	3	0.256
UB	50	TN	4	NA
UB	50	TN	5	0.267
UB	70	TN	1	0.254
UB	70	TN	2	0.326
UB	70	TN	3	0.26
UB	70	TN	4	0.274
UB	70	TN	5	0.263
UC	30	CA	1	6.22
UC	30	CA	2	8.195
UC	30	CA	3	11.717
UC	30	CA	4	6.253
UC	30	CA	5	8.47
UC	50	CA	1	5.606
UC	50	CA	2	10.143
UC	50	CA	3	8.357
UC	50	CA	4	8.779
UC	50	CA	5	NA
UC	70	CA	1	6.37
UC	70	CA	2	4.04
UC	70	CA	3	5.906
UC	70	CA	4	7.58
UC	70	CA	5	5.505
UC	30	OR	1	8.434
UC	30	OR	2	10.778
UC	30	OR	3	6.679
UC	30	OR	4	6.512
UC	30	OR	5	8.884
UC	50	OR	1	7.985
UC	50	OR	2	9.089
UC	50	OR	3	6.481
UC	50	OR	4	5.646
UC	50	OR	5	7.337
UC	70	OR	1	3.829
UC	70	OR	2	3.943
UC	70	OR	3	3.822
UC	70	OR	4	4.636
UC	70	OR	5	3.985
UC	30	TN	1	6.514
UC	30	TN	2	3.997
UC	30	TN	3	6.905
UC	30	TN	4	7.143
UC	30	TN	5	5.534
UC	50	TN	1	7.021
UC	50	TN	2	7
UC	50	TN	3	3.696
UC	50	TN	4	6.85
UC	50	TN	5	3.173
UC	70	TN	1	5.47
UC	70	TN	2	3.794
UC	70	TN	3	4.654
UC	70	TN	4	3.854
UC	70	TN	5	3.235
UD	30	CA	1	7.336
UD	30	CA	2	13.629
UD	30	CA	3	7.496
UD	30	CA	4	9.263
UD	30	CA	5	9.297
UD	50	CA	1	8.023
UD	50	CA	2	7.166
UD	50	CA	3	8.265
UD	50	CA	4	7.248
UD	50	CA	5	9.061
UD	70	CA	1	6.501
UD	70	CA	2	6.282
UD	70	CA	3	6.264
UD	70	CA	4	9.408
UD	70	CA	5	6.787
UD	30	OR	1	8.271
UD	30	OR	2	7.026
UD	30	OR	3	6.68
UD	30	OR	4	6.218
UD	30	OR	5	9.977
UD	50	OR	1	8.828
UD	50	OR	2	7.497
UD	50	OR	3	8.588
UD	50	OR	4	9.274
UD	50	OR	5	10.715
UD	70	OR	1	5.266
UD	70	OR	2	NA
UD	70	OR	3	7.355
UD	70	OR	4	7.481
UD	70	OR	5	4.357
UD	30	TN	1	8.315
UD	30	TN	2	9.101
UD	30	TN	3	6.389
UD	30	TN	4	5.984
UD	30	TN	5	9.131
UD	50	TN	1	6.503
UD	50	TN	2	6.448
UD	50	TN	3	7.373
UD	50	TN	4	7.005
UD	50	TN	5	6.221
UD	70	TN	1	2.92
UD	70	TN	2	3.967
UD	70	TN	3	4.879
UD	70	TN	4	4.499
UD	70	TN	5	3.625
UE	30	CA	1	9.25
UE	30	CA	2	14.346
UE	30	CA	3	14.683
UE	30	CA	4	11.525
UE	30	CA	5	15.804
UE	50	CA	1	9.748
UE	50	CA	2	7.034
UE	50	CA	3	9.232
UE	50	CA	4	6.489
UE	50	CA	5	12.291
UE	70	CA	1	NA
UE	70	CA	2	10.843
UE	70	CA	3	NA
UE	70	CA	4	15.232
UE	70	CA	5	9.347
UE	30	OR	1	9.925
UE	30	OR	2	9.676
UE	30	OR	3	10.351
UE	30	OR	4	9.025
UE	30	OR	5	13.504
UE	50	OR	1	10.468
UE	50	OR	2	12.669
UE	50	OR	3	11.833
UE	50	OR	4	9.443
UE	50	OR	5	5.421
UE	70	OR	1	10.242
UE	70	OR	2	8.612
UE	70	OR	3	10.509
UE	70	OR	4	9.118
UE	70	OR	5	6.976
UE	30	TN	1	7.929
UE	30	TN	2	5.598
UE	30	TN	3	7.045
UE	30	TN	4	8.71
UE	30	TN	5	8.581
UE	50	TN	1	7.872
UE	50	TN	2	7.142
UE	50	TN	3	3.46
UE	50	TN	4	8.176
UE	50	TN	5	4.146
UE	70	TN	1	NA
UE	70	TN	2	9.203
UE	70	TN	3	4.782
UE	70	TN	4	10.44
UE	70	TN	5	5.92
UF	30	CA	1	NA
UF	30	CA	2	6.742
UF	30	CA	3	5.197
UF	30	CA	4	9.004
UF	30	CA	5	NA
UF	50	CA	1	5.584
UF	50	CA	2	4.615
UF	50	CA	3	5.852
UF	50	CA	4	6.395
UF	50	CA	5	9.249
UF	70	CA	1	4.42
UF	70	CA	2	4.68
UF	70	CA	3	4.711
UF	70	CA	4	4.093
UF	70	CA	5	7.068
UF	30	OR	1	8.043
UF	30	OR	2	6.29
UF	30	OR	3	5.404
UF	30	OR	4	6.6
UF	30	OR	5	5.763
UF	50	OR	1	4.463
UF	50	OR	2	4.587
UF	50	OR	3	5.802
UF	50	OR	4	4.89
UF	50	OR	5	7.078
UF	70	OR	1	4.578
UF	70	OR	2	3.355
UF	70	OR	3	NA
UF	70	OR	4	3.802
UF	70	OR	5	3.164
UF	30	TN	1	4.843
UF	30	TN	2	4.677
UF	30	TN	3	6.276
UF	30	TN	4	6.559
UF	30	TN	5	3.581
UF	50	TN	1	3.091
UF	50	TN	2	4.866
UF	50	TN	3	2.548
UF	50	TN	4	5.749
UF	50	TN	5	5.767
UF	70	TN	1	3.109
UF	70	TN	2	4.322
UF	70	TN	3	2.877
UF	70	TN	4	4.523
UF	70	TN	5	4.245
